datetime,open,high,low,close,volume
2024-01-01 18:00:00,2064.0,2073.08,2063.05,2063.6,2296
2024-01-01 19:00:00,2063.6,2065.73,2062.19,2065.36,3145
2024-01-01 20:00:00,2065.33,2069.75,2064.76,2066.49,6247
2024-01-01 21:00:00,2066.49,2068.3,2063.88,2067.74,4022
2024-01-01 22:00:00,2067.74,2070.25,2066.38,2069.51,3000
2024-01-01 23:00:00,2069.52,2070.55,2068.8,2069.5,2367
2024-01-02 00:00:00,2069.54,2074.84,2069.39,2074.39,3663
2024-01-02 01:00:00,2074.46,2076.66,2072.87,2074.09,4497
2024-01-02 02:00:00,2074.09,2076.28,2073.03,2073.04,6573
2024-01-02 03:00:00,2073.02,2074.38,2071.71,2073.18,6831
2024-01-02 04:00:00,2073.19,2078.75,2073.15,2076.92,5972
2024-01-02 05:00:00,2076.93,2077.65,2073.37,2075.87,5069
2024-01-02 06:00:00,2075.83,2076.03,2068.18,2069.1,6776
2024-01-02 07:00:00,2069.1,2069.35,2064.93,2067.79,6560
2024-01-02 08:00:00,2067.79,2070.99,2064.71,2066.14,11633
2024-01-02 09:00:00,2066.22,2070.3,2062.04,2070.3,14666
2024-01-02 10:00:00,2070.21,2070.6,2055.84,2059.19,16403
2024-01-02 11:00:00,2059.19,2067.47,2059.03,2065.96,10767
2024-01-02 12:00:00,2066.01,2066.8,2061.68,2062.54,6383
2024-01-02 13:00:00,2062.56,2064.82,2060.45,2061.04,4547
2024-01-02 14:00:00,2061.07,2062.03,2060.34,2060.78,3417
2024-01-02 15:00:00,2060.82,2061.48,2057.86,2058.05,3411
2024-01-02 16:00:00,2058.13,2059.15,2057.92,2058.78,1470
2024-01-02 18:00:00,2058.66,2059.95,2058.56,2059.49,1649
2024-01-02 19:00:00,2059.5,2061.99,2059.13,2060.06,3063
2024-01-02 20:00:00,2060.07,2062.44,2059.42,2062.37,5405
2024-01-02 21:00:00,2062.39,2065.03,2061.48,2064.6,4231
2024-01-02 22:00:00,2064.59,2065.45,2063.2,2064.99,3159
