XAUUSD Historical Data
Date,Open,High,Low,Close,Change(Pips),Change(%)
12/22/2025 18:00,4438.43,4438.67,4429.51,4435.14,-329,-0.07,
12/22/2025 17:00,4438.6,4442.05,4432.02,4438.41,-19,0.00,
12/22/2025 16:00,4431.61,4441.99,4428,4438.74,713,0.16,
12/22/2025 15:00,4419.22,4432.28,4412.06,4431.36,1214,0.27,
12/22/2025 14:00,4423.7,4429.17,4414.75,4427.56,386,0.09,
12/22/2025 13:00,4415.61,4427.15,4413.5,4423.81,820,0.19,
12/22/2025 12:00,4410.43,4416.08,4406.22,4415.67,524,0.12,
12/22/2025 11:00,4408.72,4411.68,4406.31,4410.35,163,0.04,
12/22/2025 10:00,4411.21,4415.94,4406.17,4408.7,-251,-0.06,
12/22/2025 09:00,4408.44,4414.74,4408.19,4411.17,273,0.06,
12/22/2025 08:00,4414.23,4415.04,4406.19,4408.43,-580,-0.13,
12/22/2025 07:00,4419.37,4420.4,4410.6,4414.44,-493,-0.11,
12/22/2025 06:00,4400.32,4420.1,4398.84,4419.61,1929,0.44,
12/22/2025 05:00,4398.01,4409.52,4396.82,4400.12,211,0.05,
12/22/2025 04:00,4392.57,4400.51,4391.42,4398.36,579,0.13,
12/22/2025 03:00,4386.07,4394.94,4383.97,4392.51,644,0.15,
12/22/2025 02:00,4382.89,4388.75,4378.49,4385.86,297,0.07,
12/22/2025 01:00,4364.88,4384.81,4361.32,4382.91,1803,0.41,
12/22/2025 00:00,4355.11,4366.26,4355.11,4364.89,978,0.22,
12/21/2025 23:00,4338.52,4356.28,4338.11,4354.96,1644,0.38,
12/19/2025 21:00,4339.62,4340.12,4334.82,4337.51,-211,-0.05,
12/19/2025 20:00,4345.18,4346.44,4336.78,4339.62,-556,-0.13,
12/19/2025 19:00,4348.6,4350.74,4345.14,4345.14,-346,-0.08,
12/19/2025 18:00,4353.51,4356.44,4343.13,4348.53,-498,-0.11,
12/19/2025 17:00,4349.74,4356.04,4346.97,4353.46,372,0.09,
12/19/2025 16:00,4347.74,4354.69,4341.75,4348.63,89,0.02,
12/19/2025 15:00,4332.45,4346.54,4332.21,4345.05,1260,0.29,
12/19/2025 14:00,4328.35,4337.93,4319.63,4329.48,113,0.03,
12/19/2025 13:00,4326.73,4335.8,4326.24,4328.4,167,0.04,
12/19/2025 12:00,4327.45,4328.8,4320.79,4326.92,-53,-0.01,
12/19/2025 11:00,4327.93,4329.43,4325.29,4327.19,-74,-0.02,
12/19/2025 10:00,4329.56,4331.79,4322.23,4327.8,-176,-0.04,
12/19/2025 09:00,4325.93,4333.52,4324.4,4329.53,360,0.08,
12/19/2025 08:00,4322.72,4330.88,4321.06,4326.02,330,0.08,
12/19/2025 07:00,4326.52,4329.65,4321.82,4322.82,-370,-0.09,
12/19/2025 06:00,4325.9,4329.55,4321.56,4326.43,53,0.01,
12/19/2025 05:00,4323.01,4328.89,4317.62,4325.87,286,0.07,
12/19/2025 04:00,4318.11,4323.06,4316.78,4322.87,476,0.11,
12/19/2025 03:00,4316.51,4322.47,4312.76,4318.1,159,0.04,
12/19/2025 02:00,4323.33,4327.96,4314.2,4316.26,-707,-0.16,
12/19/2025 01:00,4326.04,4328.43,4309.35,4323.57,-247,-0.06,
12/19/2025 00:00,4335.12,4335.83,4325.81,4326.09,-903,-0.21,
12/18/2025 23:00,4334.04,4336.88,4333.57,4334.89,85,0.02,
12/18/2025 22:00,4332.3,4332.3,4332.3,4332.3,0,0.00,
12/18/2025 21:00,4334.86,4334.86,4328.53,4332.51,-235,-0.05,
12/18/2025 20:00,4325.11,4338.16,4324.43,4335.17,1006,0.23,
12/18/2025 19:00,4331.62,4334.86,4323.04,4324.44,-718,-0.17,
12/18/2025 18:00,4333.19,4341.36,4331.34,4332.78,-41,-0.01,
12/18/2025 17:00,4360.42,4363.51,4321.95,4330.87,-2955,-0.68,
12/18/2025 16:00,4338.13,4374.68,4337.73,4367.74,2961,0.68,
12/18/2025 15:00,4328.37,4337.08,4324.79,4333.57,520,0.12,
12/18/2025 14:00,4336.5,4341.37,4321.84,4323.19,-1331,-0.31,
12/18/2025 13:00,4320.68,4343.01,4314.62,4338.12,1744,0.40,
12/18/2025 12:00,4325.64,4326.54,4317.57,4320.72,-492,-0.11,
12/18/2025 11:00,4325.35,4328.58,4324.56,4325.66,31,0.01,
12/18/2025 10:00,4323.58,4327.56,4322.12,4325.26,168,0.04,
12/18/2025 09:00,4326.14,4328.62,4320.81,4323.56,-258,-0.06,
12/18/2025 08:00,4331.37,4332.53,4322.29,4326.69,-468,-0.11,
12/18/2025 07:00,4334.04,4337.7,4329.98,4331.48,-256,-0.06,
12/18/2025 06:00,4333.01,4336.23,4330.43,4333.98,97,0.02,
12/18/2025 05:00,4331.94,4337.51,4330.96,4333.28,134,0.03,
12/18/2025 04:00,4333.22,4333.59,4328.59,4331.8,-142,-0.03,
12/18/2025 03:00,4333.21,4336.79,4330.85,4333.24,3,0.00,
12/18/2025 02:00,4331.61,4337.84,4329.73,4333.26,165,0.04,
12/18/2025 01:00,4334.72,4337.05,4324.43,4331.6,-312,-0.07,
12/18/2025 00:00,4339.24,4343,4333.03,4334.67,-457,-0.11,
12/17/2025 23:00,4337.77,4343.3,4335.66,4339.31,154,0.04,
12/17/2025 22:00,4337.95,4337.95,4337.95,4337.95,0,0.00,
12/17/2025 21:00,4341.33,4346.24,4337.49,4338.29,-304,-0.07,
12/17/2025 20:00,4336.99,4346.04,4335.15,4341.22,423,0.10,
12/17/2025 19:00,4336.04,4341.07,4333.11,4339,296,0.07,
12/17/2025 18:00,4342.51,4346.48,4338.22,4341.43,-108,-0.02,
12/17/2025 17:00,4333.58,4335.42,4328.31,4333.41,-17,0.00,
12/17/2025 16:00,4330.36,4334.66,4323.2,4324.02,-634,-0.15,
12/17/2025 15:00,4338.34,4349.16,4332.71,4338.52,18,0.00,
12/17/2025 14:00,4342.14,4345.97,4322.79,4341.27,-87,-0.02,
12/17/2025 13:00,4317.53,4341.48,4314.83,4338.41,2088,0.48,
12/17/2025 12:00,4316.43,4323.18,4314.84,4317.7,127,0.03,
12/17/2025 11:00,4317.58,4320.54,4314.92,4316.44,-114,-0.03,
12/17/2025 10:00,4316.96,4322.15,4306.68,4317.58,62,0.01,
12/17/2025 09:00,4319.06,4323.14,4315.95,4317.09,-197,-0.05,
12/17/2025 08:00,4317.82,4320.82,4308.48,4319.09,127,0.03,
12/17/2025 07:00,4328.78,4328.81,4315.44,4318.24,-1054,-0.24,
12/17/2025 06:00,4333.98,4337.69,4324.65,4328.83,-515,-0.12,
12/17/2025 05:00,4329.69,4342.34,4327.99,4333.88,419,0.10,
12/17/2025 04:00,4323.62,4331.55,4320.5,4329.69,607,0.14,
12/17/2025 03:00,4314.34,4325.21,4312.48,4323.77,943,0.22,
12/17/2025 02:00,4326.73,4327.84,4311.28,4314.27,-1246,-0.29,
12/17/2025 01:00,4313.11,4326.76,4311.33,4326.65,1354,0.31,
12/17/2025 00:00,4307.9,4314.98,4307.54,4313.42,552,0.13,
12/16/2025 23:00,4301.01,4309.18,4301.01,4307.93,692,0.16,
12/16/2025 22:00,4302.03,4302.03,4302.03,4302.03,0,0.00,
12/16/2025 21:00,4304.68,4305.57,4300.71,4302.16,-252,-0.06,
12/16/2025 20:00,4310.38,4314.23,4302.64,4304.65,-573,-0.13,
12/16/2025 19:00,4311.23,4311.61,4296.61,4306.24,-499,-0.12,
12/16/2025 18:00,4303.6,4305.9,4297.99,4301.92,-168,-0.04,
12/16/2025 17:00,4300.8,4310.89,4300.61,4304.34,354,0.08,
12/16/2025 16:00,4319.76,4323.13,4312.77,4313.89,-587,-0.14,
12/16/2025 15:00,4324.45,4335.01,4312.31,4322.43,-202,-0.05,
12/16/2025 14:00,4313.09,4332.07,4311.39,4324.61,1152,0.27,
12/16/2025 13:00,4294.41,4312.7,4290.57,4305.38,1097,0.25,
12/16/2025 12:00,4278.53,4294.95,4276.98,4294.39,1586,0.37,
12/16/2025 11:00,4277.02,4279.47,4273.75,4278.5,148,0.03,
12/16/2025 10:00,4280.38,4284.11,4274.78,4277.16,-322,-0.08,
12/16/2025 09:00,4285.3,4285.76,4276.51,4280.18,-512,-0.12,
12/16/2025 08:00,4287.61,4289.43,4275.59,4284.53,-308,-0.07,
12/16/2025 07:00,4289.36,4289.64,4279.79,4287.51,-185,-0.04,
12/16/2025 06:00,4284.03,4292.17,4282.62,4289.33,530,0.12,
12/16/2025 05:00,4289.1,4292.26,4271.55,4284.15,-495,-0.12,
12/16/2025 04:00,4290.75,4292.36,4286.53,4289.06,-169,-0.04,
12/16/2025 03:00,4289.92,4294.45,4280.81,4290.9,98,0.02,
12/16/2025 02:00,4308.78,4312.32,4286.65,4289.65,-1913,-0.45,
12/16/2025 01:00,4307.69,4317.76,4299.1,4308.84,115,0.03,
12/16/2025 00:00,4304.35,4313.26,4302.91,4307.72,337,0.08,
12/15/2025 23:00,4306.8,4309.84,4303.33,4304.2,-260,-0.06,
12/15/2025 21:00,4304.47,4305.9,4300.66,4304.99,52,0.01,
12/15/2025 20:00,4314.24,4314.41,4299.22,4304.52,-972,-0.23,
12/15/2025 19:00,4313.15,4317.87,4307.92,4314.02,87,0.02,
12/15/2025 18:00,4304.15,4313.39,4299.69,4313.23,908,0.21,
12/15/2025 17:00,4297.5,4304.28,4290.7,4303.93,643,0.15,
12/15/2025 16:00,4318.24,4318.67,4285.92,4286.7,-3154,-0.74,
12/15/2025 15:00,4323.78,4327.77,4311.49,4321.62,-216,-0.05,
12/15/2025 14:00,4332.3,4336.81,4317.37,4320.77,-1153,-0.27,
12/15/2025 13:00,4345.75,4346.25,4330.61,4332.1,-1365,-0.32,
12/15/2025 12:00,4342.72,4348.24,4342.61,4345.8,308,0.07,
12/15/2025 11:00,4339.56,4343.58,4335.27,4342.64,308,0.07,
12/15/2025 10:00,4342.47,4348.3,4337.76,4339.33,-314,-0.07,
12/15/2025 09:00,4346.91,4350.43,4342.24,4342.68,-423,-0.10,
12/15/2025 08:00,4339.27,4349.12,4338.83,4347.17,790,0.18,
12/15/2025 07:00,4343.63,4344.82,4333.62,4339.24,-439,-0.10,
12/15/2025 06:00,4343.44,4347.43,4339.53,4343.67,23,0.01,
12/15/2025 05:00,4325.99,4344.44,4324.95,4343.69,1770,0.41,
12/15/2025 04:00,4327.24,4329.9,4323.2,4325.99,-125,-0.03,
12/15/2025 03:00,4326.3,4329.76,4319.56,4327.24,94,0.02,
12/15/2025 02:00,4322.5,4329.24,4320.74,4326.46,396,0.09,
12/15/2025 01:00,4307.64,4325.7,4306,4322.48,1484,0.34,
12/15/2025 00:00,4302.17,4307.96,4300.1,4307.32,515,0.12,
12/14/2025 23:00,4295.98,4308.03,4295.64,4302.21,623,0.14,
12/12/2025 21:00,4299.42,4304.17,4296.01,4299.81,39,0.01,
12/12/2025 20:00,4296.44,4303.01,4288.59,4299.57,313,0.07,
12/12/2025 19:00,4294.82,4299.82,4289.86,4296.85,203,0.05,
12/12/2025 18:00,4294.72,4303.71,4291.64,4299.41,469,0.11,
12/12/2025 17:00,4281.73,4290.84,4271.04,4289.19,746,0.17,
12/12/2025 16:00,4290.35,4296.5,4272.14,4291.92,157,0.04,
12/12/2025 15:00,4346.74,4351.36,4295.24,4312.66,-3408,-0.79,
12/12/2025 14:00,4341.11,4351.07,4330.86,4350.42,931,0.21,
12/12/2025 13:00,4325.86,4346.19,4321.11,4340.83,1497,0.34,
12/12/2025 12:00,4336.45,4338.89,4324.68,4325.81,-1064,-0.25,
12/12/2025 11:00,4329.96,4339.45,4326.98,4336.45,649,0.15,
12/12/2025 10:00,4318.28,4331.08,4314.59,4329.74,1146,0.26,
12/12/2025 09:00,4308.15,4320.14,4306.79,4318.13,998,0.23,
12/12/2025 08:00,4287.18,4309.23,4287.04,4308.23,2105,0.49,
12/12/2025 07:00,4282.71,4290.24,4281.34,4287.05,434,0.10,
12/12/2025 06:00,4279.03,4283.28,4276.58,4282.77,374,0.09,
12/12/2025 05:00,4266.35,4280.42,4266.18,4279.46,1311,0.31,
12/12/2025 04:00,4270.66,4271.08,4266.26,4266.51,-415,-0.10,
12/12/2025 03:00,4270.53,4274.57,4268.76,4270.53,0,0.00,
12/12/2025 02:00,4270.91,4276.91,4269.37,4270.27,-64,-0.01,
12/12/2025 01:00,4269.54,4276.19,4264.46,4270.98,144,0.03,
12/12/2025 00:00,4276.14,4280.05,4268.61,4269.43,-671,-0.16,
12/11/2025 23:00,4281.49,4283.66,4272.92,4276.2,-529,-0.12,
12/11/2025 21:00,4276.4,4283.76,4272.72,4279.74,334,0.08,
12/11/2025 20:00,4273.52,4276.47,4264.61,4276.06,254,0.06,
12/11/2025 19:00,4268.27,4277.56,4263.08,4273.5,523,0.12,
12/11/2025 18:00,4278.8,4285.91,4266.81,4268.63,-1017,-0.24,
12/11/2025 17:00,4273.72,4281.74,4272.26,4278.58,486,0.11,
12/11/2025 16:00,4256.37,4278.86,4250.01,4273.47,1710,0.40,
12/11/2025 15:00,4230.21,4259.72,4225.87,4259.54,2933,0.69,
12/11/2025 14:00,4220.81,4244.34,4218.05,4233.76,1295,0.31,
12/11/2025 13:00,4220.71,4223.27,4205.1,4220.49,-22,-0.01,
12/11/2025 12:00,4211.33,4220.55,4208.8,4220.55,922,0.22,
12/11/2025 11:00,4217.01,4218.96,4209.47,4211.42,-559,-0.13,
12/11/2025 10:00,4218.39,4225.89,4211.95,4217.02,-137,-0.03,
12/11/2025 09:00,4216.69,4221.56,4210.46,4218.52,183,0.04,
12/11/2025 08:00,4215.91,4219.61,4213.01,4216.72,81,0.02,
12/11/2025 07:00,4214.43,4218.44,4210.73,4215.83,140,0.03,
