datetime,open,high,low,close,volume
2024.06.09 21:00,2296.93000,2297.82000,2293.84000,2297.48000,5192,0
2024.06.09 22:00,2297.48000,2301.28000,2295.38000,2296.19000,5693,0
2024.06.09 23:00,2296.16000,2297.65000,2294.76000,2295.22000,4225,0
2024.06.10 00:00,2295.22000,2295.73000,2292.64000,2294.73000,4505,0
2024.06.10 01:00,2294.73000,2297.21000,2292.03000,2295.60000,5133,0
2024.06.10 02:00,2295.67000,2296.46000,2287.66000,2291.14000,8929,0
2024.06.10 03:00,2291.12000,2297.15000,2290.42000,2296.49000,9484,0
2024.06.10 04:00,2296.54000,2297.47000,2292.40000,2292.56000,6963,0
2024.06.10 05:00,2292.55000,2297.38000,2291.77000,2295.26000,5913,0
2024.06.10 06:00,2295.26000,2298.74000,2295.25000,2298.47000,5648,0
2024.06.10 07:00,2298.48000,2305.18000,2297.79000,2304.99000,7004,0
2024.06.10 08:00,2305.00000,2308.62000,2303.07000,2306.09000,11063,0
2024.06.10 09:00,2306.07000,2307.73000,2300.29000,2305.57000,13449,0
2024.06.10 10:00,2305.61000,2307.17000,2301.71000,2302.59000,12693,0
2024.06.10 11:00,2302.63000,2308.55000,2301.25000,2307.30000,9029,0
2024.06.10 12:00,2307.30000,2313.68000,2306.90000,2312.84000,7758,0
2024.06.10 13:00,2312.83000,2313.31000,2309.03000,2311.77000,5170,0
2024.06.10 14:00,2311.85000,2311.88000,2309.84000,2310.86000,3077,0
2024.06.10 15:00,2310.86000,2312.16000,2308.56000,2308.69000,2828,0
2024.06.10 16:00,2308.67000,2310.79000,2308.40000,2310.56000,1221,0
2024.06.10 18:00,2311.73000,2312.08000,2309.68000,2309.71000,1345,0
2024.06.10 19:00,2309.70000,2310.54000,2308.70000,2309.85000,1637,0
2024.06.10 20:00,2309.86000,2311.87000,2309.01000,2310.74000,3632,0
2024.06.10 21:00,2310.74000,2310.74000,2301.59000,2302.78000,14741,0
2024.06.10 22:00,2302.78000,2303.57000,2298.72000,2301.81000,12212,0
2024.06.10 23:00,2301.82000,2304.34000,2300.72000,2303.58000,6568,0
2024.06.11 00:00,2303.57000,2303.84000,2301.43000,2303.49000,3546,0
2024.06.11 01:00,2303.46000,2304.37000,2297.65000,2299.47000,8176,0
2024.06.11 02:00,2299.48000,2304.52000,2298.63000,2301.99000,8172,0
2024.06.11 03:00,2301.98000,2305.33000,2301.61000,2304.41000,6105,0
2024.06.11 04:00,2304.51000,2307.64000,2303.12000,2305.88000,6470,0
2024.06.11 05:00,2305.89000,2307.29000,2301.42000,2306.29000,6755,0
2024.06.11 06:00,2306.32000,2308.80000,2305.18000,2307.78000,5433,0
2024.06.11 07:00,2307.77000,2308.14000,2305.39000,2307.51000,5273,0
2024.06.11 08:00,2307.52000,2319.81000,2307.49000,2317.86000,12086,0
2024.06.11 09:00,2317.87000,2319.47000,2309.18000,2314.52000,19725,0
2024.06.11 10:00,2314.49000,2317.65000,2312.33000,2314.67000,14330,0
2024.06.11 11:00,2314.68000,2315.88000,2309.87000,2310.06000,9512,0
2024.06.11 12:00,2310.05000,2312.25000,2305.81000,2308.40000,8235,0
2024.06.11 13:00,2308.43000,2313.37000,2307.84000,2312.75000,6810,0
2024.06.11 14:00,2312.73000,2315.62000,2312.00000,2313.69000,3623,0
2024.06.11 15:00,2313.75000,2315.59000,2312.41000,2315.24000,2995,0
2024.06.11 16:00,2315.25000,2316.74000,2314.68000,2316.57000,1398,0
2024.06.11 18:00,2316.46000,2317.54000,2315.07000,2316.81000,1594,0
2024.06.11 19:00,2316.87000,2317.42000,2313.85000,2315.07000,2463,0
2024.06.11 20:00,2315.08000,2315.58000,2313.37000,2313.68000,3495,0
2024.06.11 21:00,2313.67000,2315.08000,2310.64000,2314.35000,11804,0
2024.06.11 22:00,2314.34000,2315.41000,2310.59000,2313.55000,7600,0
2024.06.11 23:00,2313.54000,2316.64000,2313.53000,2313.86000,4307,0
