entry_time,exit_time,direction,regime,entry_price,exit_price,tp1_hit,tp2_hit,tp3_hit,trailing_used,exit_type,pnl_pct,pnl_points,duration_hours,month
2024-01-09 15:16:07.586613,2024-01-09 16:16:07.586613,SHORT,RANGE,36727.42827415456,36677.42827415456,True,True,True,True,TP3,0.07896006162894768,28.999999999999996,1.0,2024-01
2024-01-13 09:16:07.586613,2024-01-13 10:16:07.586613,LONG,RANGE,36792.76954173318,72841.17857280666,False,False,False,False,SL,97.97552475680088,36047.90903107348,1.0,2024-01
2024-01-15 15:16:07.586613,2024-01-15 16:16:07.586613,SHORT,RANGE,38001.9990332433,37951.9990332433,True,True,True,True,TP3,0.07631177500591863,28.999999999999996,1.0,2024-01
2024-01-16 13:16:07.586613,2024-01-16 14:16:07.586613,LONG,TREND,39900.94321105835,39990.94321105835,True,True,True,True,TP3,0.1202979081123502,48.00000000000001,1.0,2024-01
2024-01-16 14:16:07.586613,2024-01-16 15:16:07.586613,LONG,TREND,40212.96699254643,40302.96699254643,True,True,True,True,TP3,0.11936448262794663,48.0,1.0,2024-01
2024-01-16 15:16:07.586613,2024-01-16 17:16:07.586613,LONG,TREND,40427.42162998802,40517.42162998802,True,True,True,True,TP3,0.11873129194169246,48.0,2.0,2024-01
2024-01-18 10:16:07.586613,2024-01-18 11:16:07.586613,LONG,TREND,40485.89109223541,53109.60242166134,False,False,False,False,SL,31.17928490364108,12623.211329425925,1.0,2024-01
2024-01-20 14:16:07.586613,2024-01-20 15:16:07.586613,LONG,RANGE,39884.5837389591,39934.5837389591,True,True,True,True,TP3,0.07270979732370358,29.000000000000004,1.0,2024-01
2024-01-20 15:16:07.586613,2024-01-20 16:16:07.586613,LONG,RANGE,39818.81444766318,39868.81444766318,True,True,True,True,TP3,0.07282989311024529,29.0,1.0,2024-01
2024-01-21 08:16:07.586613,2024-01-21 09:16:07.586613,LONG,RANGE,41585.676806555086,41635.676806555086,True,True,True,True,TP3,0.06973554893647607,29.0,1.0,2024-01
2024-01-21 09:16:07.586613,2024-01-21 10:16:07.586613,LONG,TREND,41855.36886318971,41945.36886318971,True,True,True,True,TP3,0.11468062832487487,47.99999999999999,1.0,2024-01
2024-01-21 10:16:07.586613,2024-01-21 11:16:07.586613,LONG,TREND,42069.22209605361,42159.22209605361,True,True,True,True,TP3,0.11409766477356077,48.0,1.0,2024-01
2024-01-23 08:16:07.586613,2024-01-23 10:16:07.586613,LONG,RANGE,42662.90813656519,42712.90813656519,True,True,True,True,TP3,0.06797473793199979,29.0,2.0,2024-01
2024-01-23 10:16:07.586613,2024-01-23 11:16:07.586613,LONG,RANGE,42699.54163038357,42749.54163038357,True,True,True,True,TP3,0.0679164199256054,29.0,1.0,2024-01
2024-01-25 08:16:07.586613,2024-01-25 09:16:07.586613,LONG,TREND,44078.40001522746,44168.40001522746,True,True,True,True,TP3,0.10889687462207742,48.00000000000001,1.0,2024-01
2024-01-25 09:16:07.586613,2024-01-25 10:16:07.586613,LONG,TREND,44429.480316925285,44519.480316925285,True,True,True,True,TP3,0.10803637507710062,47.99999999999999,1.0,2024-01
2024-01-25 10:16:07.586613,2024-01-25 11:16:07.586613,LONG,TREND,44664.24373580059,44754.24373580059,True,True,True,True,TP3,0.10746851616682729,48.0,1.0,2024-01
2024-01-25 13:16:07.586613,2024-01-25 14:16:07.586613,LONG,TREND,45063.51765072295,45153.51765072295,True,True,True,True,TP3,0.10651631852630115,48.0,1.0,2024-01
2024-01-27 10:16:07.586613,2024-01-27 11:16:07.586613,SHORT,RANGE,40048.83568474452,35803.24918171595,False,False,False,False,SL,10.599775075722391,4245.086503028564,1.0,2024-01
2024-01-25 14:16:07.586613,2024-01-28 02:16:07.586613,LONG,TREND,45454.66719046759,41090.44475112843,False,False,False,False,TIMEOUT,-9.60401364517009,-4365.472439339159,60.0,2024-01
