month,pnl_%,trades,cumulative_pnl_%
2024-01,61.716803209960304,27,61.716803209960304
2024-02,232.42226399625304,67,294.1390672062133
2024-03,12.76792316665303,54,306.90699037286635
2024-04,15.737216665752946,42,322.6442070386193
2024-05,-8.917913203367483,45,313.7262938352518
2024-06,13.555729053463994,17,327.2820228887158
2024-07,16.187297020968195,46,343.469319909684
2024-08,51.9402338235563,51,395.4095537332403
2024-09,7.179576449218159,31,402.5891301824584
2024-10,10.598596275424134,52,413.18772645788255
2024-11,26.984843615739244,61,440.1725700736218
2024-12,19.980726009304256,36,460.15329608292603
2025-01,15.847300897035263,53,476.0005969799613
2025-02,-9.670859330674585,16,466.3297376492867
2025-03,16.646982310939304,47,482.976719960226
2025-04,-3.732776976394108,30,479.24394298383186
2025-05,27.27066201154659,37,506.5146049953785
2025-06,3.4211511737915496,35,509.93575616917
2025-07,29.053016771755033,53,538.9887729409251
2025-08,44.65808334458526,66,583.6468562855104
2025-09,17.369677713426594,46,601.0165339989369
2025-10,11.413036132531097,46,612.429570131468
2025-11,27.92932746989486,37,640.3588976013629
2025-12,2.165994166000187,29,642.524891767363
2026-01,3.8917213827500348,4,646.416613150113
