month,BTC_trades,BTC_pnl_%,ETH_trades,ETH_pnl_%,total_trades,combined_pnl_%,cumulative_combined_%
2024-01,27,262.7967955770723,27,61.716803209960304,54,324.5135987870326,324.5135987870326
2024-02,49,1053.2041800662541,67,232.42226399625304,116,1285.6264440625073,1610.14004284954
2024-03,50,-0.7004585479820733,54,12.76792316665303,104,12.067464618670957,1622.207507468211
2024-04,52,0.20727893368508069,42,15.737216665752946,94,15.944495599438026,1638.1520030676488
2024-05,43,0.3729159182874084,45,-8.917913203367483,88,-8.544997285080075,1629.6070057825686
2024-06,48,3.331891254434228,17,13.555729053463994,65,16.88762030789822,1646.494626090467
2024-07,57,3.576297548019073,46,16.187297020968195,103,19.76359456898727,1666.258220659454
2024-08,34,-1.4718660177262526,51,51.9402338235563,85,50.46836780583005,1716.726588465284
2024-09,46,1.5934761136138555,31,7.179576449218159,77,8.773052562832014,1725.499641028116
2024-10,54,1.0571116090643005,52,10.598596275424134,106,11.655707884488434,1737.1553489126045
2024-11,74,3.7602948974991697,61,26.984843615739244,135,30.745138513238413,1767.9004874258428
2024-12,45,-0.32289972307266773,36,19.980726009304256,81,19.65782628623159,1787.5583137120743
2025-01,54,1.2212694513727345,53,15.847300897035263,107,17.068570348408,1804.6268840604823
2025-02,41,-2.8855324235489896,16,-9.670859330674585,57,-12.556391754223574,1792.0704923062588
2025-03,43,0.0016937846162702677,47,16.646982310939304,90,16.648676095555576,1808.7191684018144
2025-04,44,-1.3324353084649028,30,-3.732776976394108,74,-5.065212284859011,1803.6539561169554
2025-05,38,2.0465998703812165,37,27.27066201154659,75,29.317261881927806,1832.9712179988833
2025-06,36,0.2656845423446251,35,3.4211511737915496,71,3.6868357161361747,1836.6580537150194
2025-07,29,0.26982563657637,53,29.053016771755033,82,29.322842408331404,1865.9808961233507
2025-08,67,2.512760846694307,66,44.65808334458526,133,47.17084419127956,1913.1517403146302
2025-09,66,2.394932217959969,46,17.369677713426594,112,19.764609931386563,1932.9163502460167
2025-10,31,1.1057619210754144,46,11.413036132531097,77,12.518798053606512,1945.4351482996233
2025-11,40,-0.4279422974377468,37,27.92932746989486,77,27.501385172457116,1972.9365334720803
2025-12,36,1.4945212855019063,29,2.165994166000187,65,3.6605154515020932,1976.5970489235824
2026-01,18,0.9823647795477732,4,3.8917213827500348,22,4.874086162297808,1981.4711350858802
