entry_time,exit_time,direction,regime,entry_price,exit_price,tp1_hit,tp2_hit,tp3_hit,trailing_used,exit_type,pnl_pct,pnl_points,duration_hours,month,exit_month
2025-01-14 09:00:00,2025-01-15 17:00:00,LONG,RANGE,97159.465,98638.53,True,True,False,True,TRAILING_SL,1.6034265163975587,1557.8806250000055,32.0,2025-01,2025-01
2025-01-15 13:00:00,2025-01-15 21:00:00,LONG,RANGE,98964.025,99840.94,True,False,False,True,TRAILING_SL,1.0805391150976398,1069.3450000000068,8.0,2025-01,2025-01
2025-01-14 10:00:00,2025-01-16 02:00:00,LONG,TREND,96697.105,99604.66,True,True,False,True,TRAILING_SL,2.5157710684995926,2432.677791666673,40.0,2025-01,2025-01
2025-01-14 14:00:00,2025-01-16 02:00:00,LONG,TREND,96293.625,99604.66,True,True,False,True,TRAILING_SL,2.610121256729099,2513.3803750000056,36.0,2025-01,2025-01
2025-01-14 15:00:00,2025-01-16 02:00:00,LONG,TREND,96471.67499999999,99604.66,True,True,False,True,TRAILING_SL,2.5683917930660387,2477.770583333341,35.0,2025-01,2025-01
2025-01-17 09:00:00,2025-01-17 16:00:00,LONG,RANGE,101861.28499999999,104159.0,True,False,False,True,TRAILING_SL,1.7472241784501432,1779.7450000000088,7.0,2025-01,2025-01
2025-01-17 08:00:00,2025-01-17 17:00:00,LONG,RANGE,102136.03499999999,104428.24,True,True,False,True,TRAILING_SL,1.684538664536966,1720.5210000000081,9.0,2025-01,2025-01
2025-01-17 10:00:00,2025-01-17 17:00:00,LONG,RANGE,102321.555,104428.24,True,True,False,True,TRAILING_SL,1.645222260353654,1683.417000000007,7.0,2025-01,2025-01
2025-01-17 13:00:00,2025-01-17 17:00:00,LONG,RANGE,102474.165,104428.24,True,True,False,True,TRAILING_SL,1.6129870392210632,1652.895000000007,4.0,2025-01,2025-01
2025-01-17 14:00:00,2025-01-17 20:00:00,LONG,TREND,103378.97499999999,104603.22,True,False,False,True,TRAILING_SL,1.4060015588276127,1453.5100000000077,6.0,2025-01,2025-01
2025-01-22 13:00:00,2025-01-23 02:00:00,SHORT,RANGE,104073.91500000001,102941.0,True,False,False,True,TRAILING_SL,1.1504756018835334,1197.345000000007,13.0,2025-01,2025-01
2025-01-26 09:00:00,2025-01-27 00:00:00,SHORT,RANGE,104630.005,102441.0,True,True,False,True,TRAILING_SL,1.6246591979040865,1699.8810000000058,15.0,2025-01,2025-01
2025-01-30 13:00:00,2025-01-30 17:00:00,LONG,RANGE,104880.015,105381.08,True,False,False,True,TRAILING_SL,0.8404079652353253,881.4200000000039,4.0,2025-01,2025-01
2025-02-02 08:00:00,2025-02-02 14:00:00,SHORT,RANGE,99831.015,98998.0,True,False,False,True,TRAILING_SL,1.0491679364373914,1047.3950000000025,6.0,2025-02,2025-02
2025-02-02 09:00:00,2025-02-02 14:00:00,SHORT,RANGE,99690.755,98998.0,True,False,False,True,TRAILING_SL,0.9802965179669922,977.2650000000052,5.0,2025-02,2025-02
2025-02-02 10:00:00,2025-02-02 19:00:00,SHORT,TREND,99417.035,98083.54,True,False,False,True,TRAILING_SL,1.5169784534411108,1508.135000000008,9.0,2025-02,2025-02
2025-02-02 13:00:00,2025-02-02 19:00:00,SHORT,TREND,98795.85500000001,98083.54,True,False,False,True,TRAILING_SL,1.2121409344552068,1197.5450000000112,6.0,2025-02,2025-02
2025-02-02 14:00:00,2025-02-02 19:00:00,SHORT,TREND,99205.05500000001,98083.54,True,False,False,True,TRAILING_SL,1.4133805983979446,1402.1450000000102,5.0,2025-02,2025-02
2025-02-02 15:00:00,2025-02-02 19:00:00,SHORT,TREND,99346.845,98083.54,True,False,False,True,TRAILING_SL,1.4827244891370297,1473.0400000000068,4.0,2025-02,2025-02
2025-02-03 14:00:00,2025-02-03 16:00:00,LONG,TREND,96589.525,98238.0,True,False,False,True,TRAILING_SL,1.724436474866199,1665.6250000000061,2.0,2025-02,2025-02
2025-02-03 15:00:00,2025-02-04 00:00:00,LONG,TREND,98842.025,101238.01,True,True,False,True,TRAILING_SL,2.357678325590765,2330.377000000005,9.0,2025-02,2025-02
2025-02-06 14:00:00,2025-02-06 17:00:00,SHORT,RANGE,97835.955,97181.81,True,False,False,True,TRAILING_SL,0.979149229953349,957.9600000000049,3.0,2025-02,2025-02
2025-02-16 13:00:00,2025-02-17 20:00:00,SHORT,RANGE,96842.345,96046.0,True,False,False,True,TRAILING_SL,1.0626014116035742,1029.0481250000034,31.0,2025-02,2025-02
2025-02-17 15:00:00,2025-02-18 19:00:00,SHORT,RANGE,95659.43500000001,94229.09,True,False,False,True,TRAILING_SL,1.407125967239939,1346.048750000011,28.0,2025-02,2025-02
2025-02-20 08:00:00,2025-02-21 14:00:00,LONG,RANGE,97150.03499999999,98539.17,True,False,False,True,TRAILING_SL,1.3643317266947026,1325.4487500000077,30.0,2025-02,2025-02
2025-02-20 09:00:00,2025-02-21 14:00:00,LONG,RANGE,97184.655,98539.17,True,False,False,True,TRAILING_SL,1.3460344725546807,1308.1389583333362,29.0,2025-02,2025-02
