entry_time,exit_time,direction,regime,entry_price,exit_price,tp1_hit,tp2_hit,tp3_hit,trailing_used,exit_type,pnl_pct,pnl_points,duration_hours,month
2024-01-09 09:16:07.586613,2024-01-09 11:16:07.586613,LONG,RANGE,2310.659390597229,2355.9227606429786,True,True,False,True,TRAILING_SL,1.2227104576346721,28.252674009149906,2.0,2024-01
2024-01-10 13:16:07.586613,2024-01-10 15:16:07.586613,SHORT,RANGE,2309.801329639164,2276.379689749853,True,False,False,True,TRAILING_SL,1.1131182415879983,25.710819944655668,2.0,2024-01
2024-01-11 08:16:07.586613,2024-01-11 10:16:07.586613,LONG,RANGE,2390.399248406169,2366.8339043023916,False,False,False,False,SL,-1.0067499862135343,-24.065344103777534,2.0,2024-01
2024-01-18 15:16:07.586613,2024-01-18 16:16:07.586613,LONG,RANGE,2455.46619250785,3045.433284268238,False,False,False,False,SL,24.0063208183838,589.4670917603879,1.0,2024-01
2024-01-18 08:16:07.586613,2024-01-20 08:16:07.586613,LONG,RANGE,2535.369044899342,2253.0214796686537,False,False,False,False,TIMEOUT,-11.179735975751873,-283.4475652306884,48.0,2024-01
2024-01-20 13:16:07.586613,2024-01-20 14:16:07.586613,LONG,RANGE,2286.5739538989374,3670.2128347434127,False,False,False,False,SL,60.48957561534473,1383.1388808444754,1.0,2024-01
2024-01-20 14:16:07.586613,2024-01-20 17:16:07.586613,SHORT,RANGE,2279.794488111449,2229.794488111449,True,True,True,True,TP3,1.272044482571901,29.000000000000004,3.0,2024-01
2024-01-20 15:16:07.586613,2024-01-20 17:16:07.586613,SHORT,RANGE,2284.75714161424,2234.75714161424,True,True,True,True,TP3,1.2692815123234826,29.0,2.0,2024-01
2024-01-20 08:16:07.586613,2024-01-20 18:16:07.586613,SHORT,RANGE,2253.0214796686537,2216.686605678846,True,False,False,True,TRAILING_SL,1.2058223696517703,27.167436994903937,10.0,2024-01
2024-01-20 10:16:07.586613,2024-01-20 18:16:07.586613,SHORT,RANGE,2249.646582607384,2216.686605678846,True,False,False,True,TRAILING_SL,1.132621837637151,25.479988464269123,8.0,2024-01
2024-01-20 09:16:07.586613,2024-01-20 19:16:07.586613,SHORT,RANGE,2243.0095071944925,2216.3686587810485,True,True,False,True,TRAILING_SL,1.0935383735117603,24.528169682688805,10.0,2024-01
