entry_time,exit_time,direction,regime,entry_price,exit_price,tp1_hit,tp2_hit,tp3_hit,trailing_used,exit_type,pnl_pct,pnl_points,duration_hours,month
2024-01-11 14:00:00,2024-01-11 15:00:00,LONG,RANGE,48571.245,50419.983,False,False,False,False,SL,3.8060337963336077,1848.6379999999976,1.0,2024-01
2024-01-12 14:00:00,2024-01-12 22:00:00,SHORT,RANGE,45441.994999999995,42341.0,True,True,False,True,TRAILING_SL,4.142157491104864,1882.2789999999977,8.0,2024-01
2024-01-12 15:00:00,2024-01-12 23:00:00,SHORT,RANGE,44461.985,42341.0,True,True,False,True,TRAILING_SL,3.792626442566608,1686.276999999999,8.0,2024-01
2024-01-15 14:00:00,2024-01-17 14:00:00,SHORT,RANGE,42198.975,42576.035,False,False,False,False,TIMEOUT,-0.8938131791115898,-377.18000000000495,48.0,2024-01
2024-01-18 14:00:00,2024-01-18 15:00:00,LONG,RANGE,42738.725,60445.900980000006,False,False,False,False,SL,41.43098789212829,17707.075980000005,1.0,2024-01
2024-01-18 15:00:00,2024-01-19 07:00:00,SHORT,RANGE,42619.295,41524.28,True,False,False,True,TRAILING_SL,2.7649331130418724,1178.394999999999,16.0,2024-01
2024-01-19 10:00:00,2024-01-21 10:00:00,SHORT,RANGE,41486.034999999996,41786.015,False,False,False,False,TIMEOUT,-0.7233759504855146,-300.10000000000326,48.0,2024-01
2024-01-19 13:00:00,2024-01-21 13:00:00,SHORT,RANGE,41393.055,41859.555,False,False,False,False,TIMEOUT,-1.1272905563505762,-466.62,48.0,2024-01
2024-01-19 14:00:00,2024-01-21 14:00:00,SHORT,RANGE,40969.284999999996,41787.525,False,False,False,False,TIMEOUT,-1.9974964171329945,-818.3600000000052,48.0,2024-01
2024-01-19 08:00:00,2024-01-22 08:00:00,SHORT,TREND,41289.965,40959.025,False,False,False,False,TIMEOUT,0.8011874071581196,330.80999999999506,72.0,2024-01
2024-01-19 09:00:00,2024-01-22 09:00:00,SHORT,TREND,41398.345,40744.875,False,False,False,False,TIMEOUT,1.5781790310699646,653.3400000000012,72.0,2024-01
