entry_time,exit_time,direction,regime,entry_price,exit_price,tp1_hit,tp2_hit,tp3_hit,trailing_used,exit_type,pnl_pct,duration_hours,month,asset,pnl_points
2024-01-11 14:00:00,2024-01-11 15:00:00.000000,LONG,RANGE,48595.50561,50445.16797899999,False,False,False,False,SL,3.706241638567017,1.0,2024-01,BTC,
2024-01-12 14:00:00,2024-01-12 16:00:00.000000,SHORT,RANGE,45419.29899,43644.12,True,False,False,True,TRAILING_SL,2.579587228584633,2.0,2024-01,BTC,
2024-01-12 15:00:00,2024-01-12 17:00:00.000000,SHORT,RANGE,44439.77899500001,43644.12,True,True,False,True,TRAILING_SL,1.718834136777336,2.0,2024-01,BTC,
2024-01-15 14:00:00,2024-01-17 14:00:00.000000,SHORT,RANGE,42177.9005,42597.298005,False,False,False,False,TIMEOUT,-1.094353678177968,48.0,2024-01,BTC,
2024-01-18 14:00:00,2024-01-18 15:00:00.000000,LONG,RANGE,42760.06935,60476.09891799001,False,False,False,False,SL,41.33124610715819,1.0,2024-01,BTC,
2024-01-18 15:00:00,2024-01-18 17:00:00.000000,SHORT,RANGE,42598.01034,41915.0,True,False,False,True,TRAILING_SL,1.4270677722075449,2.0,2024-01,BTC,
2024-01-19 10:00:00,2024-01-19 16:00:00.000000,SHORT,RANGE,41465.31697,40713.1,True,False,False,True,TRAILING_SL,1.5324185546703246,6.0,2024-01,BTC,
2024-01-19 08:00:00,2024-01-19 17:00:00.000000,SHORT,TREND,41269.345005,40884.2,True,False,False,True,TRAILING_SL,1.3421235979191637,9.0,2024-01,BTC,
2024-01-19 09:00:00,2024-01-19 17:00:00.000000,SHORT,TREND,41377.670815000005,40884.2,True,False,False,True,TRAILING_SL,1.4718008614070115,8.0,2024-01,BTC,
2024-01-19 13:00:00,2024-01-19 17:00:00.000000,SHORT,RANGE,41372.383460000005,40682.8,True,True,False,True,TRAILING_SL,1.694104475778126,4.0,2024-01,BTC,
